"atomicNumber";" symbol";" name";" atomicMass";" cpkHexColor";"random number";"Rand Proton Factor";"Fix Proton Factor";"gScore Factor";"Period Factor";"Group Factor";"Base Price";"Molecule Power Cost";"Compound Chance";"m³ per unit";"kg per unit";"kg/m³";" electronicConfiguration";"NumberofNeutrons";"NumberofProtons";"NumberofElectrons";"Period";"Group";" electronegativity";" atomicRadius";" ionRadius";" vanDelWaalsRadius";" ionizationEnergy";" electronAffinity";" oxidationStates";" standardState";"Radioactive";" bondingType";" meltingPoint";" boilingPoint";"adj density";"density";"gScore";" groupBlock";" yearDiscovered";"NumberofShells";"NumberofValence"
"1";" H ";" Hydrogen";" 1.00794(4)";"FFFFFF";0.305256184754912;0.994112340548771;0.00847457627118644;0.0666666666666667;0.142857142857143;0.0555555555555556;0.0235173429465688;0.0674162936874801;2.0074896975905;0.00263265306122449;0.292517006802721;0.009;"1s1 ";0;1;1;1;1;"2.2";"37";;"120";"1312";"-73";"-1, 1";"gas";"   ";"diatomic";"14";"20";0.00009;"0,00009";1;"nonmetal";"1766";1;1
"2";" He ";" Helium";" 4.002602(2)";"D9FFFF";0.148274716927102;0.985563978253002;0.0169491525423729;0.466666666666667;0.142857142857143;1;0.234363015985676;0.168743121285494;1.78101248198448;0.006;0.333333333333333;0.018;"1s2 ";2;2;2;1;18;;"32";;"140";"2372";"0";;"gas";"   ";"atomic";;"4";0.00018;"0,00018";7;"noble gas";"1868";1;
"3";" Li ";" Lithium";" 6.941(2)";"CC80FF";0.887235474812741;0.997133105291849;0.0254237288135593;0.266666666666667;0.285714285714286;0.0555555555555556;0.0551688234688652;0.154341233154792;1.78471957106356;4.07619047619048;0.0761904761904762;53.5;"[He] 2s1 ";4;3;3;2;1;"0.98";"134";"76 (+1)";"182";"520";"-60";"1";"solid";"   ";"metallic";"454";"1615";0.535;"0,535";"4";"alkali metal";"1817";2;1
"4";" Be ";" Beryllium";" 9.012182(3)";"C2FF00";0.563658277738242;0.985208755177567;0.0338983050847458;0.4;0.285714285714286;0.111111111111111;0.0823379205397373;0.17890038398513;1.71657489205326;21.12;0.114285714285714;184.8;"[He] 2s2 ";5;4;4;2;2;"1.57";"90";"45 (+2)";;"900";"0";"2";"solid";"   ";"metallic";"1560";"2743";1.848;"1,848";"6";"alkaline earth metal";"1798";2;2
"5";" B ";" Boron";" 10.811(7)";"FFB5B5";0.125638833546632;0.962950798031637;0.0423728813559322;0.333333333333333;0.285714285714286;0.722222222222222;0.175448105315021;0.201439332795265;1.74909269719986;23.4285714285714;0.0952380952380952;246;"[He] 2s2 2p1 ";6;5;5;2;13;"2.04";"82";"27 (+3)";;"801";"-27";"1, 2, 3";"solid";"   ";"covalent network";"2348";"4273";2.46;"2,46000";5;"metalloid";"1807";2;3
"6";" C ";" Carbon";" 12.0107(8)";"909090";0.742447750539923;0.98690412290881;0.0508474576271187;0.0666666666666667;0.285714285714286;0.777777777777778;0.149315310948065;0.171453029080148;1.91337205053168;4.3047619047619;0.019047619047619;226;"[He] 2s2 2p2 ";6;6;6;2;14;"2.55";"77";"16 (+4)";"170";"1087";"-154";"-4, -3, -2, -1, 1, 2, 3, 4";"solid";"   ";"covalent network";"3823";"4300";2.26;"2,26000";1;"nonmetal";"Ancient";2;4
"7";" N ";" Nitrogen";" 14.0067(2)";"3050F8";0.998192674975884;0.999892785803654;0.0593220338983051;0.0666666666666667;0.285714285714286;0.833333333333333;0.15875551039074;0.177830361728667;1.91337205053168;0.0374149659863946;0.299319727891156;0.125;"[He] 2s2 2p3 ";7;7;7;2;15;"3.04";"75";"146 (-3)";"155";"1402";"-7";"-3, -2, -1, 1, 2, 3, 4, 5";"gas";"   ";"diatomic";"63";"77";0.00125;"0,00125";1;"nonmetal";"1772";2;5
"8";" O ";" Oxygen";" 15.9994(3)";"FF0D0D";0.207395191464523;0.946264080777256;0.0677966101694915;0.0666666666666667;0.285714285714286;0.888888888888889;0.168214346023074;0.184207694377186;1.91337205053168;0.0428027210884354;0.299319727891156;0.143;"[He] 2s2 2p4 ";8;8;8;2;16;"3.44";"73";"140 (-2)";"152";"1314";"-141";"-2, -1, 1, 2";"gas";"   ";"diatomic";"55";"90";0.00143;"0,00143";1;"nonmetal";"1774";2;6
"9";" F ";" Fluorine";" 18.9984032(5)";"90E050";0.982916362730724;0.99869701071675;0.076271186440678;0.2;0.285714285714286;0.944444444444444;0.195470833356951;0.208766845207523;1.82375277565956;0.0555102040816327;0.326530612244898;0.17;"[He] 2s2 2p5 ";10;9;9;2;17;"3.98";"71";"133 (-1)";"147";"1681";"-328";"-1";"gas";"   ";"atomic";"54";"85";0.0017;"0,00170";3;"halogen";"1670";2;7
"10";" Ne ";" Neon";" 20.1797(6)";"B3E3F5";0.44944660799545;0.95334293288097;0.0847457627118644;0.466666666666667;0.285714285714286;1;0.240526249925001;0.251507814219679;1.68689483492566;0.0342857142857143;0.380952380952381;0.09;"[He] 2s2 2p6 ";10;10;10;2;18;;"69";;"154";"2081";"0";;"gas";"   ";"atomic";"25";"27";0.0009;"0,00090";7;"noble gas";"1898";2;8
