"atomicNumber";" symbol";" name";" atomicMass";" cpkHexColor";" electronicConfiguration";"NumberofNeutrons";"NumberofProtons";"NumberofElectrons";"Period";"Group";" electronegativity";" atomicRadius";" ionRadius";" vanDelWaalsRadius";" ionizationEnergy";" electronAffinity";" oxidationStates";" standardState";"Radioactive";" bondingType";" meltingPoint";" boilingPoint";"density";"gScore";" groupBlock";" yearDiscovered";"NumberofShells";"NumberofValence"
"1";" H ";" Hydrogen";" 1.00794(4)";"FFFFFF";"1s1 ";0;1;1;1;1;"2.2";"37";;"120";"1312";"-73";"-1, 1";"gas";"   ";"diatomic";"14";"20";"0.0000899";1;"nonmetal";"1766";1;1
"2";" He ";" Helium";" 4.002602(2)";"D9FFFF";"1s2 ";2;2;2;1;18;;"32";;"140";"2372";"0";;"gas";"   ";"atomic";;"4";"0.0001785";7;"noble gas";"1868";1;
"3";" Li ";" Lithium";" 6.941(2)";"CC80FF";"[He] 2s1 ";4;3;3;2;1;"0.98";"134";"76 (+1)";"182";"520";"-60";"1";"solid";"   ";"metallic";"454";"1615";"0.535";"4";"alkali metal";"1817";2;1
"4";" Be ";" Beryllium";" 9.012182(3)";"C2FF00";"[He] 2s2 ";5;4;4;2;2;"1.57";"90";"45 (+2)";;"900";"0";"2";"solid";"   ";"metallic";"1560";"2743";"1.848";"6";"alkaline earth metal";"1798";2;2
"5";" B ";" Boron";" 10.811(7)";"FFB5B5";"[He] 2s2 2p1 ";6;5;5;2;13;"2.04";"82";"27 (+3)";;"801";"-27";"1, 2, 3";"solid";"   ";"covalent network";"2348";"4273";"2.46";5;"metalloid";"1807";2;3
"6";" C ";" Carbon";" 12.0107(8)";"909090";"[He] 2s2 2p2 ";6;6;6;2;14;"2.55";"77";"16 (+4)";"170";"1087";"-154";"-4, -3, -2, -1, 1, 2, 3, 4";"solid";"   ";"covalent network";"3823";"4300";"2.26";1;"nonmetal";"Ancient";2;4
"7";" N ";" Nitrogen";" 14.0067(2)";"3050F8";"[He] 2s2 2p3 ";7;7;7;2;15;"3.04";"75";"146 (-3)";"155";"1402";"-7";"-3, -2, -1, 1, 2, 3, 4, 5";"gas";"   ";"diatomic";"63";"77";"0.001251";1;"nonmetal";"1772";2;5
"8";" O ";" Oxygen";" 15.9994(3)";"FF0D0D";"[He] 2s2 2p4 ";8;8;8;2;16;"3.44";"73";"140 (-2)";"152";"1314";"-141";"-2, -1, 1, 2";"gas";"   ";"diatomic";"55";"90";"0.001429";1;"nonmetal";"1774";2;6
"9";" F ";" Fluorine";" 18.9984032(5)";"90E050";"[He] 2s2 2p5 ";10;9;9;2;17;"3.98";"71";"133 (-1)";"147";"1681";"-328";"-1";"gas";"   ";"atomic";"54";"85";"0.001696";3;"halogen";"1670";2;7
"10";" Ne ";" Neon";" 20.1797(6)";"B3E3F5";"[He] 2s2 2p6 ";10;10;10;2;18;;"69";;"154";"2081";"0";;"gas";"   ";"atomic";"25";"27";"0.0009";7;"noble gas";"1898";2;8
"11";" Na ";" Sodium";" 22.98976928(2)";"AB5CF2";"[Ne] 3s1 ";12;11;11;3;1;"0.93";"154";"102 (+1)";"227";"496";"-53";"-1, 1";"solid";"   ";"metallic";"371";"1156";"0.968";"4";"alkali metal";"1807";3;1
"12";" Mg ";" Magnesium";" 24.3050(6)";"8AFF00";"[Ne] 3s2 ";12;12;12;3;2;"1.31";"130";"72 (+2)";"173";"738";"0";"1, 2";"solid";"   ";"metallic";"923";"1363";"1.738";"6";"alkaline earth metal";"1808";3;2
"13";" Al ";" Aluminum";" 26.9815386(8)";"BFA6A6";"[Ne] 3s2 3p1 ";14;13;13;3;13;"1.61";"118";"53.5 (+3)";;"578";"-43";"1, 3";"solid";"   ";"metallic";"933";"2792";"2.7";2;"metal";"Ancient";3;3
"14";" Si ";" Silicon";" 28.0855(3)";"F0C8A0";"[Ne] 3s2 3p2 ";14;14;14;3;14;"1.9";"111";"40 (+4)";"210";"787";"-134";"-4, -3, -2, -1, 1, 2, 3, 4";"solid";"   ";"metallic";"1687";"3173";"2.33";5;"metalloid";"1854";3;4
